         StartTime           LastTime        Dur   TotBytes  TotPkts     SrcBytes     DstBytes         Rate 
   15:00:08.472111    15:00:08.472468   0.000357        208        2           78          130  2801.120361
   15:00:08.486252    15:00:11.483682   2.997430        222        3          222            0     0.667238
   15:00:08.542265    15:00:13.542261   4.999996     152324      179         9197       143127    35.600029
   15:00:08.652119    15:00:08.652119   0.000000         74        1           74            0     0.000000
   15:00:08.875280    15:00:08.875280   0.000000         90        1           90            0     0.000000
   15:00:09.115640    15:00:12.110044   2.994404        222        3          222            0     0.667913
   15:00:09.230912    15:00:09.310394   0.079482        525        7          222          303    75.488792
   15:00:09.266215    15:00:09.266215   0.000000         66        1           66            0     0.000000
   15:00:09.459398    15:00:09.459398   0.000000         90        1           90            0     0.000000
   15:00:09.459424    15:00:09.459424   0.000000         90        1           90            0     0.000000
   15:00:09.459498    15:00:09.459498   0.000000         90        1           90            0     0.000000
   15:00:09.459537    15:00:09.459537   0.000000         90        1           90            0     0.000000
   15:00:09.459564    15:00:09.459564   0.000000         90        1           90            0     0.000000
   15:00:09.459592    15:00:09.459592   0.000000         90        1           90            0     0.000000
   15:00:09.633550    15:00:14.553917   4.920367     716118      707        25808       690310   143.485245
   15:00:09.663153    15:00:09.749288   0.086135        646        2           56          590    11.609682
   15:00:09.666236    15:00:12.130880   2.464644      15710       29         9450         6260    11.360667
   15:00:09.677495    15:00:11.901787   2.224292      44914       59         2751        42163    26.075712
   15:00:09.677523    15:00:14.553757   4.876234      90224      125         8591        81633    25.429461
   15:00:09.968338    15:00:09.968338   0.000000         90        1           90            0     0.000000
   15:00:09.987987    15:00:09.987987   0.000000         90        1           90            0     0.000000
   15:00:10.006071    15:00:10.006071   0.000000         74        1           74            0     0.000000
   15:00:10.170182    15:00:10.170182   0.000000       1274        1         1274            0     0.000000
   15:00:10.590099    15:00:10.590099   0.000000         74        1           74            0     0.000000
   15:00:10.606387    15:00:10.606387   0.000000         74        1           74            0     0.000000
   15:00:10.649929    15:00:10.649929   0.000000         74        1           74            0     0.000000
   15:00:10.716338    15:00:10.716338   0.000000         74        1           74            0     0.000000
   15:00:10.716391    15:00:13.737276   3.020885        222        3          222            0     0.662058
   15:00:10.764889    15:00:10.764889   0.000000         74        1           74            0     0.000000
   15:00:10.941074    15:00:10.941074   0.000000         90        1           90            0     0.000000
   15:00:10.941104    15:00:10.941104   0.000000         90        1           90            0     0.000000
   15:00:10.941172    15:00:10.941172   0.000000         90        1           90            0     0.000000
   15:00:10.941221    15:00:10.941221   0.000000         90        1           90            0     0.000000
   15:00:10.941323    15:00:10.941323   0.000000         90        1           90            0     0.000000
   15:00:10.941368    15:00:10.941368   0.000000         90        1           90            0     0.000000
   15:00:10.950077    15:00:10.950077   0.000000         98        1           98            0     0.000000
   15:00:11.400554    15:00:14.392031   2.991477        222        3          222            0     0.668566
   15:00:11.590123    15:00:12.107884   0.517761      52197       72        49473         2724   137.128906
   15:00:11.674043    15:00:13.720490   2.046447       1880       11         1088          792     4.886518
   15:00:11.691111    15:00:14.685163   2.994052        222        3          222            0     0.667991
   15:00:11.775828    15:00:11.775828   0.000000         66        1           66            0     0.000000
   15:00:11.810389    15:00:11.810389   0.000000         74        1           74            0     0.000000
   15:00:11.951093    15:00:12.031506   0.080413        288        4          132          156    37.307400
   15:00:12.044257    15:00:12.044257   0.000000         74        1           74            0     0.000000
   15:00:12.055701    15:00:12.055701   0.000000        195        1            0          195     0.000000
   15:00:12.064040    15:00:12.104226   0.040186       1509       10          770          739   223.958603
   15:00:12.098279    15:00:12.180042   0.081763        288        4          132          156    36.691414
   15:00:12.149936    15:00:12.149936   0.000000         74        1           74            0     0.000000
   15:00:12.149973    15:00:12.149973   0.000000         74        1           74            0     0.000000
   15:00:12.355147    15:00:12.355147   0.000000        506        1          506            0     0.000000
   15:00:12.397880    15:00:15.399947   3.002067        222        3          222            0     0.666208
   15:00:12.400858    15:00:12.400858   0.000000         74        1           74            0     0.000000
   15:00:12.491366    15:00:12.491734   0.000368        231        2           82          149  2717.391357
   15:00:12.496183    15:00:12.577211   0.081028        260        2           82          178    12.341413
   15:00:12.496294    15:00:12.496294   0.000000         74        1           74            0     0.000000
   15:00:12.536657    15:00:12.536657   0.000000         74        1           74            0     0.000000
   15:00:12.641699    15:00:15.768238   3.126539        222        3          222            0     0.639685
   15:00:12.669337    15:00:12.669337   0.000000         74        1           74            0     0.000000
   15:00:12.718213    15:00:16.123923   3.405710     207723      277        31307       176416    81.040367
   15:00:12.728354    15:00:12.728354   0.000000         74        1           74            0     0.000000
   15:00:12.755478    15:00:13.766019   1.010541        170        2          170            0     0.989569
   15:00:12.910274    15:00:12.910274   0.000000         74        1           74            0     0.000000
   15:00:12.985280    15:00:12.985545   0.000265        207        2           76          131  3773.584717
   15:00:12.996097    15:00:15.989443   2.993346        222        3          222            0     0.668149
   15:00:12.996264    15:00:13.423023   0.426759       6933       25         1473         5460    56.237827
   15:00:13.033113    15:00:13.033113   0.000000         74        1           74            0     0.000000
   15:00:13.327983    15:00:13.327983   0.000000         74        1           74            0     0.000000
   15:00:13.508629    15:00:13.508629   0.000000         74        1           74            0     0.000000
   15:00:13.513202    15:00:13.513202   0.000000         74        1           74            0     0.000000
   15:00:13.552616    15:00:16.574190   3.021574     134362      154         9265       125097    50.635860
   15:00:13.621809    15:00:13.621809   0.000000         74        1           74            0     0.000000
   15:00:13.678820    15:00:16.668787   2.989967        222        3          222            0     0.668904
   15:00:13.743336    15:00:13.743336   0.000000         74        1           74            0     0.000000
   15:00:13.889450    15:00:13.889450   0.000000         90        1           90            0     0.000000
   15:00:14.035330    15:00:14.035330   0.000000         74        1           74            0     0.000000
   15:00:14.132200    15:00:14.132200   0.000000         74        1           74            0     0.000000
   15:00:14.232584    15:00:19.014251   4.781667    1462706     1532        42679      1420027   320.181213
   15:00:14.270112    15:00:14.842741   0.572629      13661       24         1219        12442    40.165623
   15:00:14.378008    15:00:14.378008   0.000000         74        1           74            0     0.000000
   15:00:14.385491    15:00:14.385491   0.000000         74        1           74            0     0.000000
   15:00:14.412052    15:00:14.412052   0.000000         74        1           74            0     0.000000
   15:00:14.705015    15:00:14.705015   0.000000       1294        1         1294            0     0.000000
   15:00:14.908453    15:00:14.908453   0.000000         74        1           74            0     0.000000
   15:00:14.985644    15:00:14.986000   0.000356        186        2           85          101  2808.988770
   15:00:14.988593    15:00:15.177419   0.188826        240        2           88          152     5.295881
   15:00:15.041212    15:00:15.041513   0.000301        186        2           85          101  3322.259277
   15:00:15.041302    15:00:15.041741   0.000439        186        2           85          101  2277.904297
   15:00:15.084741    15:00:18.098723   3.013982        198        3          198            0     0.663574
   15:00:15.084899    15:00:15.085143   0.000244        186        2           85          101  4098.360840
   15:00:15.119167    15:00:18.137833   3.018666        198        3          198            0     0.662544
   15:00:15.212232    15:00:15.212232   0.000000         90        1           90            0     0.000000
   15:00:15.284031    15:00:19.409182   4.125151     245759      300        13653       232106    72.482193
   15:00:15.295741    15:00:15.314023   0.018282        122        2           56           66    54.698612
   15:00:15.437671    15:00:15.437671   0.000000         90        1           90            0     0.000000
   15:00:15.442014    15:00:15.445704   0.003690        206        2           83          123   271.002716
   15:00:15.464449    15:00:18.458610   2.994161        222        3          222            0     0.667967
   15:00:15.485695    15:00:15.485695   0.000000         66        1           66            0     0.000000
   15:00:15.488616    15:00:15.488616   0.000000         74        1           74            0     0.000000
   15:00:15.488623    15:00:18.494796   3.006173        222        3          222            0     0.665298
   15:00:15.733614    15:00:18.734076   3.000462        222        3          222            0     0.666564
   15:00:15.750075    15:00:18.741071   2.990996        222        3          222            0     0.668674
