frame.number,frame.time_epoch,tcp.analysis.ack_rtt,ip.src,ip.dst
"488","1757509695.622444000","0.000068000","196.42.104.243","52.108.9.12"
"489","1757509695.622473000","0.000096000","196.42.104.243","52.108.9.12"
"518","1757509696.975866000","0.393707000","52.108.36.35","196.42.104.243"
"519","1757509696.975866000","0.393638000","52.108.36.35","196.42.104.243"
"520","1757509696.975866000","0.391404000","52.108.36.35","196.42.104.243"
"522","1757509696.975909000","0.000043000","196.42.104.243","52.108.36.35"
"544","1757509697.733400000","0.209192000","146.75.74.248","196.42.104.243"
"545","1757509697.733400000","0.209157000","146.75.74.248","196.42.104.243"
"569","1757509698.599991000","0.017699000","52.108.54.3","196.42.104.243"
"574","1757509698.652397000","0.069059000","52.108.54.3","196.42.104.243"
"583","1757509698.921909000","0.338707000","52.108.36.35","196.42.104.243"
"584","1757509698.921910000","0.338101000","52.108.36.35","196.42.104.243"
"586","1757509698.922025000","0.000115000","196.42.104.243","52.108.36.35"
"596","1757509698.988307000","0.017626000","35.186.224.26","196.42.104.243"
"597","1757509698.988397000","0.000090000","196.42.104.243","35.186.224.26"
"599","1757509698.991226000","0.001202000","35.186.224.26","196.42.104.243"
"611","1757509699.170735000","0.000029000","196.42.104.243","35.186.224.26"
"615","1757509699.188458000","0.017335000","35.186.224.26","196.42.104.243"
"617","1757509699.189483000","0.000530000","196.42.104.243","35.186.224.26"
"618","1757509699.189525000","0.018162000","35.186.224.26","196.42.104.243"
"619","1757509699.194064000","0.022651000","35.186.224.26","196.42.104.243"
"620","1757509699.207303000","0.017820000","35.186.224.26","196.42.104.243"
"622","1757509699.229990000","0.040465000","196.42.104.243","35.186.224.26"
"624","1757509699.438599000","0.000081000","196.42.104.243","35.186.224.26"
"631","1757509699.456813000","0.017220000","35.186.224.26","196.42.104.243"
"632","1757509699.460855000","0.017281000","35.186.224.26","196.42.104.243"
"633","1757509699.461053000","0.017432000","35.186.224.26","196.42.104.243"
"655","1757509699.652455000","0.069351000","52.108.54.3","196.42.104.243"
"662","1757509699.807916000","0.000553000","196.42.104.243","35.186.224.26"
"664","1757509699.825279000","0.017315000","35.186.224.26","196.42.104.243"
"671","1757509700.020696000","0.002115000","196.24.45.75","196.42.104.243"
"672","1757509700.020774000","0.000078000","196.42.104.243","196.24.45.75"
"675","1757509700.023764000","0.001557000","196.24.45.75","196.42.104.243"
"677","1757509700.026509000","0.000056000","196.42.104.243","196.24.45.75"
"678","1757509700.026542000","0.008715000","196.24.45.81","196.42.104.243"
"680","1757509700.026637000","0.000095000","196.42.104.243","196.24.45.81"
"681","1757509700.026679000","0.000137000","196.42.104.243","196.24.45.81"
"685","1757509700.032859000","0.000093000","196.42.104.243","196.24.45.81"
"686","1757509700.032898000","0.000131000","196.42.104.243","196.24.45.81"
"688","1757509700.033012000","0.000024000","196.42.104.243","196.24.45.81"
"690","1757509700.033084000","0.000019000","196.42.104.243","196.24.45.81"
"692","1757509700.033123000","0.000015000","196.42.104.243","196.24.45.81"
"694","1757509700.038526000","0.000048000","196.42.104.243","196.24.45.81"
"696","1757509700.038615000","0.000018000","196.42.104.243","196.24.45.81"
"699","1757509700.044050000","0.000068000","196.42.104.243","196.24.45.81"
"700","1757509700.044079000","0.000097000","196.42.104.243","196.24.45.81"
"701","1757509700.044888000","0.016199000","196.24.45.75","196.42.104.243"
"704","1757509700.086879000","0.041991000","196.42.104.243","196.24.45.75"
"753","1757509701.993686000","0.399785000","52.108.36.35","196.42.104.243"
"754","1757509701.993687000","0.399505000","52.108.36.35","196.42.104.243"
"755","1757509701.993687000","0.397448000","52.108.36.35","196.42.104.243"
"759","1757509701.993815000","0.000128000","196.42.104.243","52.108.36.35"
"787","1757509703.017814000","0.420139000","52.108.36.35","196.42.104.243"
"791","1757509703.017850000","0.000036000","196.42.104.243","52.108.36.35"
"825","1757509704.451117000","0.000063000","196.42.104.243","52.108.54.3"
"826","1757509704.451138000","0.000083000","196.42.104.243","52.108.54.3"
"827","1757509704.451142000","0.000087000","196.42.104.243","52.108.54.3"
"848","1757509705.326153000","0.002840000","196.24.45.75","196.42.104.243"
"849","1757509705.326154000","0.002736000","196.24.45.75","196.42.104.243"
"881","1757509706.398713000","0.000098000","196.42.104.243","52.108.54.3"
"886","1757509706.725697000","0.022675000","35.186.224.41","196.42.104.243"
"898","1757509706.909095000","0.000096000","196.42.104.243","35.186.224.41"
"928","1757509708.342946000","0.000236000","196.42.104.243","104.18.39.21"
"929","1757509708.344783000","0.001837000","104.18.39.21","196.42.104.243"
"939","1757509708.711346000","0.000051000","196.42.104.243","104.18.39.21"
"946","1757509708.753543000","0.041949000","104.18.39.21","196.42.104.243"
"987","1757509709.980764000","0.315595000","52.108.36.35","196.42.104.243"
"988","1757509709.980764000","0.313684000","52.108.36.35","196.42.104.243"
"989","1757509709.980801000","0.000037000","196.42.104.243","52.108.36.35"
"990","1757509709.981153000","0.000389000","196.42.104.243","104.18.39.21"
"991","1757509709.982477000","0.001324000","104.18.39.21","196.42.104.243"
"994","1757509710.071180000","0.051877000","196.24.45.75","196.42.104.243"
"995","1757509710.071259000","0.000079000","196.42.104.243","196.24.45.75"
"997","1757509710.075566000","0.056635000","196.24.45.81","196.42.104.243"
"999","1757509710.075619000","0.000053000","196.42.104.243","196.24.45.81"
"1000","1757509710.075643000","0.000077000","196.42.104.243","196.24.45.81"
"1003","1757509710.081155000","0.008508000","196.24.45.75","196.42.104.243"
"1006","1757509710.081242000","0.000036000","196.42.104.243","196.24.45.81"
"1007","1757509710.081275000","0.000069000","196.42.104.243","196.24.45.81"
"1009","1757509710.081342000","0.000013000","196.42.104.243","196.24.45.81"
"1011","1757509710.081380000","0.000010000","196.42.104.243","196.24.45.81"
"1013","1757509710.087256000","0.000060000","196.42.104.243","196.24.45.81"
"1015","1757509710.087302000","0.000011000","196.42.104.243","196.24.45.81"
"1019","1757509710.090161000","0.000053000","196.42.104.243","196.24.45.81"
"1022","1757509710.092725000","0.000066000","196.42.104.243","196.24.45.81"
"1023","1757509710.092750000","0.000063000","196.42.104.243","196.24.45.75"
"1027","1757509710.095321000","0.001159000","196.24.45.75","196.42.104.243"
"1029","1757509710.137913000","0.041033000","196.42.104.243","196.24.45.75"
"1046","1757509710.690351000","0.019129000","52.108.9.12","196.42.104.243"
"1052","1757509710.691603000","0.018034000","52.108.9.12","196.42.104.243"
"1053","1757509710.692608000","0.017930000","52.108.9.12","196.42.104.243"
"1057","1757509710.707953000","0.017558000","52.108.9.12","196.42.104.243"
"1060","1757509710.712394000","0.000047000","196.42.104.243","52.108.9.12"
"1061","1757509710.712415000","0.000067000","196.42.104.243","52.108.9.12"
"1066","1757509710.780880000","0.000141000","196.42.104.243","52.108.9.12"
"1067","1757509710.780925000","0.000185000","196.42.104.243","52.108.9.12"
"1107","1757509713.258250000","0.000439000","196.42.104.243","104.18.39.21"
"1108","1757509713.260160000","0.001910000","104.18.39.21","196.42.104.243"
"1145","1757509715.101198000","0.004826000","196.24.45.75","196.42.104.243"
"1146","1757509715.101199000","0.004722000","196.24.45.75","196.42.104.243"
"1212","1757509717.873081000","0.017547000","35.186.224.26","196.42.104.243"
"1213","1757509717.873142000","0.017565000","35.186.224.26","196.42.104.243"
"1214","1757509717.873460000","0.017400000","35.186.224.26","196.42.104.243"
"1239","1757509718.275251000","0.000055000","196.42.104.243","35.186.224.26"
"1246","1757509718.293312000","0.017706000","35.186.224.26","196.42.104.243"
"1247","1757509718.293313000","0.017499000","35.186.224.26","196.42.104.243"
"1248","1757509718.293359000","0.000046000","196.42.104.243","35.186.224.26"
"1266","1757509718.817498000","0.017693000","52.108.54.3","196.42.104.243"
"1270","1757509718.871643000","0.069107000","52.108.54.3","196.42.104.243"
"1272","1757509718.874001000","0.017622000","52.108.9.12","196.42.104.243"
"1275","1757509718.914920000","0.040919000","196.42.104.243","52.108.9.12"
"1285","1757509719.112985000","0.308916000","52.108.36.35","196.42.104.243"
"1286","1757509719.127509000","0.322828000","52.108.36.35","196.42.104.243"
"1287","1757509719.127564000","0.000055000","196.42.104.243","52.108.36.35"
"1288","1757509719.127633000","0.271372000","20.189.173.14","196.42.104.243"
"1291","1757509719.138995000","0.282416000","20.189.173.14","196.42.104.243"
"1292","1757509719.139050000","0.000055000","196.42.104.243","20.189.173.14"
"1293","1757509719.168954000","0.041321000","196.42.104.243","20.189.173.14"
"1295","1757509719.403821000","0.000085000","196.42.104.243","52.108.54.3"
"1308","1757509719.775416000","0.002235000","162.159.135.234","196.42.104.243"
"1311","1757509719.871667000","0.067537000","52.108.54.3","196.42.104.243"
"1317","1757509719.956157000","0.001523000","196.24.45.75","196.42.104.243"
"1318","1757509719.956203000","0.000046000","196.42.104.243","196.24.45.75"
"1322","1757509719.958806000","0.001634000","196.24.45.75","196.42.104.243"
"1324","1757509719.962203000","0.000063000","196.42.104.243","196.24.45.75"
"1325","1757509719.962231000","0.008393000","196.24.45.81","196.42.104.243"
"1327","1757509719.962308000","0.000077000","196.42.104.243","196.24.45.81"
"1328","1757509719.962345000","0.000113000","196.42.104.243","196.24.45.81"
"1331","1757509719.967125000","0.000052000","196.42.104.243","196.24.45.81"
"1333","1757509719.967223000","0.000018000","196.42.104.243","196.24.45.81"
"1335","1757509719.967322000","0.000017000","196.42.104.243","196.24.45.81"
"1337","1757509719.974027000","0.000084000","196.42.104.243","196.24.45.81"
"1339","1757509719.974141000","0.000023000","196.42.104.243","196.24.45.81"
"1341","1757509719.979909000","0.000053000","196.42.104.243","196.24.45.81"
