saddr,daddr,sport,dport,Proto,tcprtt
196.42.104.243,87.248.114.12,34626,https,tcp,0.150094
196.42.104.243,87.248.114.12,34296,https,tcp,0.150988
196.42.104.243,87.248.114.12,34312,https,tcp,0.150154
196.42.104.243,87.248.114.12,34326,https,tcp,0.149801
196.42.104.243,87.248.114.12,34330,https,tcp,0.149819
196.42.104.243,87.248.114.12,34344,https,tcp,0.150286
196.42.104.243,87.248.114.12,34360,https,tcp,0.149933
196.42.104.243,87.248.114.11,48600,https,tcp,0.149562
196.42.104.243,87.248.114.12,34370,https,tcp,0.150431
196.42.104.243,87.248.114.12,34374,https,tcp,0.150217
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,34388,https,tcp,0.149759
196.42.104.243,87.248.114.11,44104,https,tcp,0.149859
196.42.104.243,87.248.114.12,56422,https,tcp,0.149812
196.42.104.243,87.248.114.12,34390,https,tcp,0.151305
196.42.104.243,87.248.114.11,33770,https,tcp,0.149897
196.42.104.243,87.248.114.12,34394,https,tcp,0.150227
196.42.104.243,87.248.114.12,34408,https,tcp,0.149955
196.42.104.243,87.248.114.11,33774,https,tcp,0.185446
196.42.104.243,87.248.114.12,34424,https,tcp,0.165943
196.42.104.243,87.248.114.12,34434,https,tcp,0.26223
196.42.104.243,87.248.114.12,34448,https,tcp,0.155827
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,34458,https,tcp,0.142507
196.42.104.243,87.248.114.12,34460,https,tcp,0.149748
196.42.104.243,87.248.114.12,34468,https,tcp,0.197266
196.42.104.243,87.248.114.12,34470,https,tcp,0.15306
196.42.104.243,87.248.114.12,56422,https,tcp,0.149812
196.42.104.243,87.248.114.11,33776,https,tcp,0.155382
196.42.104.243,87.248.114.11,33790,https,tcp,0.155288
196.42.104.243,87.248.114.11,33792,https,tcp,0.155213
196.42.104.243,87.248.114.11,33802,https,tcp,0.15519
196.42.104.243,87.248.114.12,49496,https,tcp,0.149754
196.42.104.243,87.248.114.11,35422,https,tcp,0.150199
196.42.104.243,87.248.114.11,35430,https,tcp,0.14978
196.42.104.243,87.248.114.12,49498,https,tcp,0.150197
196.42.104.243,87.248.114.12,49512,https,tcp,0.150486
196.42.104.243,87.248.114.12,49520,https,tcp,0.149746
196.42.104.243,87.248.114.12,49524,https,tcp,0.149681
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.11,60548,https,tcp,0.150752
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,56436,https,tcp,0.149721
196.42.104.243,87.248.114.11,43390,https,tcp,0.149965
196.42.104.243,87.248.114.12,37630,https,tcp,0.155213
196.42.104.243,87.248.114.11,48600,https,tcp,0.149562
196.42.104.243,87.248.114.11,44104,https,tcp,0.149859
196.42.104.243,87.248.114.12,56422,https,tcp,0.149812
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,56436,https,tcp,0.149721
196.42.104.243,87.248.114.11,48600,https,tcp,0.149562
196.42.104.243,87.248.114.11,43390,https,tcp,0.149965
196.42.104.243,87.248.114.12,37630,https,tcp,0.155213
196.42.104.243,87.248.114.11,44104,https,tcp,0.149859
196.42.104.243,87.248.114.12,56422,https,tcp,0.149812
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,56436,https,tcp,0.149721
196.42.104.243,87.248.114.11,43390,https,tcp,0.149965
196.42.104.243,87.248.114.12,37630,https,tcp,0.155213
196.42.104.243,87.248.114.11,44104,https,tcp,0.149859
196.42.104.243,87.248.114.12,56422,https,tcp,0.149812
196.42.104.243,87.248.114.12,49358,https,tcp,0.165533
196.42.104.243,87.248.114.12,50578,https,tcp,0.154535
196.42.104.243,87.248.114.12,50578,https,tcp,0.154535
196.42.104.243,87.248.114.12,50578,https,tcp,0.154535
196.42.104.243,87.248.114.12,50578,https,tcp,0.154535
196.42.104.243,87.248.114.12,56374,https,tcp,0.150045
196.42.104.243,87.248.114.12,56374,https,tcp,0.150045
196.42.104.243,87.248.114.12,56374,https,tcp,0.150045
196.42.104.243,87.248.114.11,50446,https,tcp,0.213726
196.42.104.243,87.248.114.11,50446,https,tcp,0.213726
196.42.104.243,87.248.114.11,50446,https,tcp,0.213726
196.42.104.243,87.248.114.11,50446,https,tcp,0.213726
