1713016803.506846000	41.169.98.17	10.30.222.137	1381	1
1713016803.524897000	41.169.98.17	10.30.222.137	6901	1
1713016803.536728000	41.169.98.17	10.30.222.137	16561	1
1713016803.537079000	41.169.98.17	10.30.222.137	17941	1
1713016803.541430000	41.169.98.17	10.30.222.137	22081	1
1713016803.541840000	41.169.98.17	10.30.222.137	23461	1
1713016803.546630000	41.169.98.17	10.30.222.137	24841	1
1713016803.546967000	41.169.98.17	10.30.222.137	26221	1
1713016803.562290000	102.132.115.163	10.30.228.173	1	1
1713016803.590836000	41.169.98.17	10.30.222.137	56140	1
1713016803.672710000	41.169.98.17	10.30.222.137	87880	1
1713016803.680106000	10.30.228.173	102.132.115.163	4294966931	1
1713016803.687855000	41.169.98.17	10.30.222.137	94780	1
1713016803.689031000	41.169.98.17	10.30.222.137	96160	1
1713016803.703520000	102.132.104.63	10.30.228.173	4294967262	1
1713016803.709119000	41.169.98.17	10.30.222.137	108580	1
1713016803.710536000	41.169.98.17	10.30.222.137	115480	1
1713016803.725020000	41.169.98.17	10.30.222.137	118240	1
1713016803.743276000	41.169.98.17	10.30.222.137	136180	1
1713016803.743511000	41.169.98.17	10.30.222.137	137560	1
1713016803.746840000	41.169.98.17	10.30.222.137	138940	1
1713016803.747103000	41.169.98.17	10.30.222.137	140320	1
1713016803.870473000	71.18.46.243	10.30.222.137	8319	1
1713016803.870634000	71.18.46.243	10.30.222.137	9659	1
1713016803.880821000	102.132.115.163	10.30.228.173	27601	1
1713016803.885556000	102.132.115.163	10.30.228.173	1	1
1713016803.914170000	41.169.98.17	10.30.222.137	196900	1
1713016803.915902000	41.169.98.17	10.30.222.137	202420	1
1713016803.917677000	41.169.98.17	10.30.222.137	203800	1
1713016804.005445000	41.169.98.17	10.30.222.137	205180	1
1713016804.007110000	41.169.98.17	10.30.222.137	213460	1
1713016804.009015000	41.169.98.17	10.30.222.137	292120	1
1713016804.047043000	41.169.98.17	10.30.222.137	301780	1
1713016804.197425000	41.169.98.17	10.30.222.137	365902	1
1713016804.198331000	41.169.98.17	10.30.222.137	371422	1
1713016804.227525000	41.169.98.17	10.30.222.137	379702	1
